,BBfull,BBOU,S&P 500
2019-07-09,72198.25381994247,96450.27222442627,110528.18329369996
2019-07-10,71681.19935369492,96047.95445251465,111026.74162142894
2019-07-11,71418.30393362045,95307.09288787842,111280.46290005522
2019-07-12,70904.99202108383,94718.24759674072,111794.59806242288
2019-07-15,70462.43663740158,94561.21227264404,111814.25928800461
2019-07-16,71430.00508642197,93708.79570007324,111433.668313766
2019-07-17,72097.07848501205,93511.49868011475,110705.86788417138
2019-07-18,72173.10064268112,93091.5676574707,111102.41605761545
2019-07-19,73524.45257902145,92385.66857910156,110416.1659287896
2019-07-22,74519.77224683762,92296.19818115234,110728.4995758935
2019-07-23,74288.77416944504,93459.32473754883,111486.71105823039
2019-07-24,74466.75924634933,94122.46627044678,112009.37725445248
2019-07-25,75033.9625582695,94932.31549835205,111419.93896416585
2019-07-26,75251.46704435349,94457.678855896,112243.07505552871
2019-07-29,75290.55878782272,94687.81972503662,112061.67738238178
2019-07-30,75290.10526609421,94675.37091064453,111772.70898723588
2019-07-31,75907.89389562607,95774.89115333557,110556.00424486856
2019-08-01,76906.66628026962,94865.04927825928,109561.1335516143
2019-08-02,77819.92803144455,95117.28335571289,108763.22830984641
2019-08-05,76987.24326848984,92445.03483772278,105524.49647429216
2019-08-06,77348.1455616951,93616.07213973999,106898.11065674653
2019-08-07,76937.04376459122,93403.67899990082,106980.08827718218
2019-08-08,80198.24054193497,96486.85562133789,108987.28115226555
2019-08-09,78767.44849252701,94697.85323047638,108266.15521518764
2019-08-12,77297.22805452347,92732.86417388916,106932.60610043183
2019-08-13,78179.53714227676,94009.23738098145,108550.67696742213
2019-08-14,76601.23943376541,90550.49592971802,105370.92880861305
2019-08-15,76061.6261677742,90431.4934425354,105630.59101952013
2019-08-16,76340.22815942764,91440.27495384216,107154.43109324564
2019-08-19,76103.45685815811,91928.08707618713,108451.6282229784
2019-08-20,75704.03551721573,91898.98185157776,107593.26312769437
2019-08-21,74969.08596277237,91958.3088130951,108480.56309894967
2019-08-22,74920.54006433487,91710.88710975647,108425.66381314753
2019-08-23,75559.81612253189,91671.2354259491,105612.4150270086
2019-08-26,75246.64617395401,91407.39870262146,106772.35488593682
2019-08-27,75036.70256280899,90852.43007850647,106430.34374632654
2019-08-28,75258.91989374161,91428.62920951843,107126.98145034458
2019-08-29,74572.78080224991,91077.61303520203,108486.13272296292
2019-08-30,75028.4596543312,91333.76134872437,108555.86622686863
2019-09-03,76441.35134363174,91638.61075210571,107806.9283949213
2019-09-04,76028.82385873795,91108.77416038513,108975.77965227072
2019-09-05,75415.72800683975,91253.99855613708,110393.53423706746
2019-09-06,76026.83504343033,91386.94487380981,110494.0591582822
