,walk_forward_equity
2020-09-17,153088.07000780106
2020-09-18,150564.88124895096
2020-09-21,141600.6823067665
2020-09-22,143879.63675165176
2020-09-23,139044.8186249733
2020-09-24,139367.40033388138
2020-09-25,143048.6804356575
2020-09-28,147755.90250444412
2020-09-29,146665.69497156143
2020-09-30,148922.07654237747
2020-10-01,150967.51046991348
2020-10-02,152206.9726548195
2020-10-05,155899.03474855423
2020-10-06,155411.21339845657
2020-10-07,157786.67200899124
2020-10-08,159129.32499361038
2020-10-09,159676.38240861893
2020-10-12,160035.29291963577
2020-10-13,159717.53726625443
2020-10-14,159596.54906129837
2020-10-15,158933.46985292435
2020-10-16,159355.82100343704
2020-10-19,158492.8011174202
2020-10-20,158118.1966061592
2020-10-21,157500.00949907303
2020-10-22,159013.50153017044
2020-10-23,160353.45060396194
2020-10-26,157514.66512727737
2020-10-27,154760.8992009163
2020-10-28,145613.5351948738
2020-10-29,147985.3715748787
2020-10-30,148166.52783632278
2020-11-02,153414.65454912186
2020-11-03,156680.84986162186
2020-11-04,164906.36494112015
2020-11-05,168860.43751573563
2020-11-06,169366.55888795853
2020-11-09,178353.8253750801
2020-11-10,182905.81853055954
2020-11-11,182858.29894208908
2020-11-12,181478.36326169968
2020-11-13,183014.96173906326
2020-11-16,183216.197163105
2020-11-17,182860.5775809288
2020-11-18,182863.35945653915
2020-11-19,183834.82508420944
2020-11-20,183205.18171453476
2020-11-23,183853.37517499924
2020-11-24,184279.27288007736
2020-11-25,183779.10381269455
2020-11-27,184008.08228254318
2020-11-30,183796.60398817062
2020-12-01,184329.7548480034
2020-12-02,183660.97238874435
2020-12-03,184812.24962186813
2020-12-04,185746.70565366745
2020-12-07,186792.45829343796
2020-12-08,186323.1905283928
2020-12-09,187670.06890439987
2020-12-10,187063.94195890427
2020-12-11,187803.63001966476
2020-12-14,187144.64928007126
2020-12-15,192358.6178431511
2020-12-16,193684.09867429733
2020-12-17,198437.9764971733
2020-12-18,194640.14989042282
2020-12-21,192520.39693021774
2020-12-22,192618.95887708664
2020-12-23,189857.32970380783
2020-12-24,192650.64201688766
2020-12-28,193321.90351438522
2020-12-29,190543.20608091354
2020-12-30,192635.29679441452
2020-12-31,195184.11077070236
2021-01-04,195184.11077070236
2021-01-05,196602.55772829056
2021-01-06,201131.58218336105
2021-01-07,205505.18252515793
2021-01-08,209021.54621076584
2021-01-11,205377.907433033
2021-01-12,206345.03784894943
2021-01-13,208762.61599874496
2021-01-14,206790.222386837
2021-01-15,209703.32071447372
2021-01-19,210741.93689870834
2021-01-20,213678.38747167587
2021-01-21,212669.3287138939
2021-01-22,212162.9379286766
2021-01-25,213909.92953634262
2021-01-26,214031.9096865654
2021-01-27,210752.21761655807
2021-01-28,218211.9574790001
2021-01-29,205287.85271978378
2021-02-01,209045.94349431992
2021-02-02,213365.07947301865
2021-02-03,213313.7359137535
2021-02-04,215706.42561101913
2021-02-05,218819.23361730576
2021-02-08,224449.09730291367
2021-02-09,226682.47690725327
2021-02-10,227178.0559439659
2021-02-11,226763.14669179916
2021-02-12,227295.8344283104
2021-02-16,226505.21344137192
2021-02-17,227038.6445441246
2021-02-18,226095.87632131577
2021-02-19,226801.4115691185
2021-02-22,226017.81562185287
2021-02-23,226402.42756795883
2021-02-24,225717.3130736351
2021-02-25,223324.42826223373
2021-02-26,216223.41121435165
2021-03-01,222855.2438979149
2021-03-02,221236.05341482162
2021-03-03,216315.5646300316
2021-03-04,214408.17199850082
2021-03-05,224471.87758398056
