,p5,p25,p50,p75,p95
2024-01-16,120496.81127666298,217741.27859654994,329997.3155748837,489770.6423391246,869327.6230788281
2024-01-17,119568.58587511105,217808.74026634757,331005.17751325446,489889.056078063,876446.0684494878
2024-01-18,120090.63875535257,216428.82196371356,330156.8173018042,486013.10611049994,869810.1266343227
2024-01-19,119819.62294415878,217038.81934883998,329328.17415325495,487062.7461475043,873773.2640432476
2024-01-22,120011.32283547834,217197.73271449225,328749.6302593265,488835.811547537,879261.1193891001
2024-01-23,120137.83616574507,218560.93580423802,330795.19094838505,487699.6277655447,882943.3039825058
2024-01-24,121242.92277998837,218850.15635760943,331622.415895147,488463.2886000411,880576.4202041612
2024-01-25,122833.7539815828,218405.96420987582,331712.7882693869,491283.5131991225,881981.7428646581
2024-01-26,122345.93920557911,219565.33421300142,332957.1361932751,491467.1998638752,890358.9094610482
2024-01-29,122851.74345746828,218955.3498398496,333483.64610455045,488038.4654558915,895218.4123995192
2024-01-30,122758.92661699149,218252.401347168,335019.36923855095,488415.8761695151,895289.5848484071
2024-01-31,123444.54686020299,219498.2075736411,335061.4486881272,490040.4370716299,892619.6576085154
2024-02-01,123011.02921632756,219596.2848564633,336188.3850696231,488970.50491656666,891843.4597085044
2024-02-02,122684.27722365911,219931.6961773511,336964.0653081316,488184.4616577966,891372.5611278351
2024-02-05,122361.61456873307,219559.9533767765,336556.19803513517,488823.5377576564,895316.5920662849
2024-02-06,122710.67126717666,221351.74069520735,339927.69396963314,491344.2719145819,892710.9236075253
2024-02-07,121642.07036220544,221311.19525415677,338105.70023117017,490729.71178780054,895309.245917325
2024-02-08,122310.318781441,221791.1485997751,338750.89373681624,491263.7663966203,893420.963579481
2024-02-09,120949.3652174215,222036.1541127058,338479.40834070917,491860.45984633954,893814.5634552777
2024-02-12,122087.23424107935,221787.53994709946,337868.45568498573,494008.36102851224,890446.687746941
2024-02-13,122361.28297039324,221724.21044364123,337019.8114574077,495105.34798807435,892255.2745565022
2024-02-14,122335.06531827731,221831.7898354248,337542.69177925505,496135.0157491887,895433.0692314208
2024-02-15,121413.80361514096,222183.68748543493,337919.73256620386,496275.6245460959,899710.8174152833
2024-02-16,121304.77403209177,222147.69286221618,339236.86916698085,497099.9023043733,897223.6183406642
2024-02-20,120349.36846251036,223541.61218096572,340065.9900971758,500597.25167589635,898458.2433325747
2024-02-21,120707.14745289767,223514.10643345106,338367.0813796844,499813.33294270316,903541.0849324274
2024-02-22,121178.7334486216,223748.00280096283,339749.6579489908,498174.1932279262,899518.0059467561
2024-02-23,121146.88643014393,225272.02851545668,340874.6231092954,499464.9747948607,901692.6608771394
2024-02-26,121403.96771330034,224179.91008887682,341168.7433328049,502210.6059882883,889892.1196252983
2024-02-27,121798.77954053304,223713.88771299744,342099.56050350855,500719.1795981738,894960.8565201586
2024-02-28,122209.89300461244,223672.98690389888,342743.2068129501,500826.78922025854,903603.5592226674
2024-02-29,121425.47527218703,224024.1670851881,341471.61375781137,499768.7923710738,900813.6362745214
2024-03-01,121292.63607933605,224276.38931792977,341509.53176196513,502284.0574706593,904204.8838996679
2024-03-04,121617.4830000457,223375.346863429,341540.10437322664,500286.6889202823,907099.2837321619
2024-03-05,123062.34260648825,222808.37843055045,341097.6223231079,500996.116948846,905748.4770410426
