,walk_forward_equity
2021-06-25,95054.65228414536
2021-06-28,94395.60175085068
2021-06-29,94571.056661129
2021-06-30,94125.94744253159
2021-07-01,94271.4776878357
2021-07-02,94102.29223823547
2021-07-05,94191.05710029602
2021-07-06,94227.71850013733
2021-07-07,94715.92074203491
2021-07-08,94511.378657341
2021-07-09,94592.42023849487
2021-07-12,94750.65413379669
2021-07-13,94700.4809293747
2021-07-14,94704.34144496918
2021-07-15,94704.34144496918
2021-07-16,94704.34144496918
2021-07-19,94704.34144496918
2021-07-20,95131.77452754974
2021-07-21,95717.18632030487
2021-07-22,95602.0914182663
2021-07-23,95776.36953639984
2021-07-26,95895.54501247406
2021-07-27,95743.51362895966
2021-07-28,95929.24353694916
2021-07-29,96103.32173061371
2021-07-30,95792.35353755951
2021-08-02,95356.39297771454
2021-08-03,96001.08887386322
2021-08-04,96098.94598674774
2021-08-05,96047.13957881927
2021-08-06,96024.11422634125
2021-08-09,95960.79768276215
2021-08-10,96277.39056301117
2021-08-11,96398.27175807953
2021-08-12,96334.95140361786
2021-08-13,96467.34654521942
2021-08-16,96467.34654521942
2021-08-17,96228.86231517792
2021-08-18,96169.24176311493
2021-08-19,96118.79204845428
2021-08-20,96101.45265483856
2021-08-23,96366.18189907074
2021-08-24,96544.6155385971
2021-08-25,96538.74783992767
2021-08-26,96400.72276973724
2021-08-27,96664.15596675873
2021-08-30,96795.57576656342
2021-08-31,96585.75705242157
2021-09-01,96567.5183172226
2021-09-02,96653.56991100311
2021-09-03,96541.5752210617
2021-09-06,96665.35916805267
2021-09-07,96724.30415248871
2021-09-08,96612.30816173553
2021-09-09,96389.08693218231
2021-09-10,95275.89796733856
2021-09-13,95434.54660320282
2021-09-14,95317.68693065643
2021-09-15,94966.7504606247
2021-09-16,94775.16659832001
2021-09-17,94483.32891750336
2021-09-20,93846.46804714203
2021-09-21,94428.07054424286
2021-09-22,95000.53168010712
2021-09-23,94965.71428966522
2021-09-24,94879.16068553925
2021-09-27,94905.69457149506
2021-09-28,94077.99066448212
2021-09-29,94194.17440700531
2021-09-30,93739.92167949677
2021-10-01,93683.68373966217
2021-10-04,93817.21749782562
2021-10-05,94405.40470981598
2021-10-06,93995.46894550323
2021-10-07,94161.35894680023
2021-10-08,93842.67059803009
2021-10-11,93212.52396297455
2021-10-12,93402.68490695953
2021-10-13,93521.35066890717
2021-10-14,93520.7416715622
2021-10-15,93855.92363262177
2021-10-18,93775.35205745697
2021-10-19,93988.0628194809
2021-10-20,94168.54194545746
2021-10-21,94252.33743572235
2021-10-22,94332.91276836395
2021-10-25,94152.42800617218
2021-10-26,94152.42800617218
2021-10-27,94305.09780597687
2021-10-28,94292.3778963089
2021-10-29,93611.7216463089
2021-11-01,94069.73244953156
2021-11-02,94247.84768390656
2021-11-03,93758.0321931839
2021-11-04,94184.23690509796
2021-11-05,94845.80556964874
2021-11-08,94578.63271808624
2021-11-09,93891.61861896515
2021-11-10,93891.61861896515
2021-11-11,93891.61861896515
2021-11-12,93891.61861896515
2021-11-15,93891.61861896515
2021-11-16,93891.61861896515
2021-11-17,93891.61861896515
2021-11-18,93891.61861896515
2021-11-19,93891.61861896515
2021-11-22,93891.61861896515
2021-11-23,94075.16966342926
2021-11-24,94257.6040391922
2021-11-25,94613.3626613617
2021-11-26,94160.41563892365
2021-11-29,93783.68798828125
2021-11-30,92982.41981506348
2021-12-01,93639.00184631348
2021-12-02,93411.51374435425
2021-12-03,93198.23746013641
2021-12-06,94805.48153018951
2021-12-07,95386.16196250916
2021-12-08,94778.00065803528
2021-12-09,94487.73712730408
