,BBfull,BBOU,DAX
2022-09-28,71599.32463669777,97024.9859752655,94653.96205231396
2022-09-29,68867.60287690163,96200.57742881775,93040.06895744354
2022-09-30,71100.06349205971,96805.36437034607,94118.51153952986
2022-10-03,72722.48290371895,97338.10086965561,94857.51579459137
2022-10-04,77577.73878788948,98881.6510643959,98439.10265188896
2022-10-05,75681.90927052498,97919.3299832344,97248.08299171878
2022-10-06,75390.89017224312,97567.77600336075,96887.59810757005
2022-10-07,74354.21192097664,97120.69391679764,95351.00976054951
2022-10-10,73897.40848469734,97265.23059892654,95350.54694873099
2022-10-11,73804.30703663826,97075.90760087967,94941.18610171558
2022-10-12,73919.42414021492,97218.73091936111,94568.34186588881
2022-10-13,73572.31350255013,97180.19267320633,95992.58833427426
2022-10-14,73528.87480473518,97446.29152727127,96631.44314664086
2022-10-17,73095.99566960335,97362.38581895828,98272.45246182884
2022-10-18,72238.8156273365,97235.82920885086,99178.18277774038
2022-10-19,71969.30849575996,97047.76012468338,98990.16737323868
2022-10-20,71292.04424786568,96394.21109437943,99192.16576432271
2022-10-21,72060.70354390144,96975.0833325386,98908.51522912637
2022-10-24,71018.27475476265,96609.95004320145,100466.62053216835
2022-10-25,70699.11794400215,96937.01535081863,101410.6504228317
2022-10-26,69603.00722193718,95852.5288567543,102520.47316362908
2022-10-27,68576.25019955635,95742.80961847305,102640.28072799236
2022-10-28,67715.22187447548,94344.14263296127,102889.66801446067
2022-10-31,67898.88396382332,95293.16657972336,102970.5462765158
2022-11-01,66443.32579922676,94163.9567360878,103630.92563198281
2022-11-02,66387.04281401634,94171.92942094803,102993.85378317934
2022-11-03,66709.54556965828,95415.43740415573,102010.66697783807
2022-11-04,67280.94636511803,95328.62643289566,104571.84482025946
2022-11-07,66875.62768912315,94832.43942022324,105144.19888526083
2022-11-08,68077.25612998009,94071.36286115646,106350.21061351927
2022-11-09,69021.82408118248,94216.10028409958,106175.95058323015
2022-11-10,66522.37384390831,93117.19343709946,109903.36109875471
2022-11-11,65525.29762625694,93305.17402791977,110515.34247733152
2022-11-14,64088.479404211044,93121.05441427231,111202.4435250085
2022-11-15,64005.40776801109,92908.25676107407,111709.07072470184
2022-11-16,66479.29797720909,94311.40432882309,110586.58514906677
2022-11-17,67362.39801383018,93281.15350484848,110837.91472775702
2022-11-18,65337.2067258358,91315.07220602036,112123.56043711591
2022-11-21,66278.20270514488,91920.47180318832,111720.10233755627
2022-11-22,66108.95773291588,91915.67918539047,112049.66987481245
2022-11-23,66120.93852972984,91153.32161092758,112090.38214068372
2022-11-24,65027.87440466881,90698.94275045395,112960.29385667386
2022-11-25,64918.6638982296,90233.5711684227,112974.43617191503
2022-11-28,65002.53177237511,90372.1019911766,111746.7557460553
2022-11-29,65318.57010245323,90418.80815267563,111529.91702846285
2022-11-30,64851.31153464317,89916.53700399399,111853.03554857578
2022-12-01,64799.99323630333,89766.98803853989,112577.58641815744
2022-12-02,64830.494861364365,89543.8325972557,112881.28201605077
2022-12-05,64917.59172797203,89562.50698232651,112245.9248470995
2022-12-06,65271.43004965782,90218.60420370102,111434.6688387968
2022-12-07,64836.35880827904,90005.65893316269,110797.59698999331
2022-12-08,64965.658349752426,89754.59119176865,110823.77241251587
2022-12-09,65076.54158949852,89848.3616156578,111648.54859558235
2022-12-12,65548.30719351768,90404.24295186996,111150.62377549287
2022-12-13,65823.06203818321,90651.46321249008,112636.5531960836
2022-12-14,65440.54933142662,90557.69005727768,112343.73746946485
2022-12-15,65862.57255721092,90598.40300893784,108661.386616074
2022-12-16,65641.28626036644,90654.24949216843,107937.6096285495
2022-12-19,66181.74384856224,91572.80355787277,108324.5127217485
2022-12-20,66506.32428717613,92309.62462186813,107872.26970427009
2022-12-21,68648.68154501915,92872.29804563522,109528.34695833625
2022-12-22,67585.49234509468,92583.1018500328,108100.76217519431
2022-12-23,67167.55818533897,92432.44845724106,108309.43719579134
2022-12-27,67306.29173827171,92132.71190595627,108730.2924674797
2022-12-28,67235.42605757713,92258.22006559372,108190.3352297743
2022-12-29,68520.83099770546,92679.62915372849,109325.56709811602
2022-12-30,67529.66790747643,92704.55750894547,108174.72102120868
2023-01-02,67195.95341467857,91079.53261041641,109306.4552461351
2023-01-03,66444.40254092216,90250.99763250351,110179.78873475063
2023-01-04,63132.02782893181,88866.79540777206,112581.31926102155
2023-01-05,63007.35099864006,89562.2345700264,112158.12716900362
2023-01-06,60955.41270327568,87777.50675439835,113507.70919302842
2023-01-09,60476.73700976372,87612.3707537651,114927.99520618
2023-01-10,61216.61582827568,87980.08228635788,114786.35961555663
2023-01-11,60146.01276278496,87698.20280408859,116132.83852427367
2023-01-12,59370.219490766525,86400.05111551285,116990.4743464547
2023-01-13,59301.619601011276,86230.724214077,117209.71816808762
2023-01-16,58432.793040037155,85100.75352621078,117578.91301891921
2023-01-17,58213.840138196945,84154.5709528923,117990.91416942386
2023-01-18,58274.502136945724,84227.08573198318,117949.96670410385
2023-01-19,59800.96364760399,85512.27923250198,115918.79943882927
2023-01-20,59522.89278483391,85006.80594110489,116798.26328727041
2023-01-23,59054.656420469284,84480.61413049698,117337.37077212869
2023-01-24,59190.84331679344,84781.58224344254,117260.92336420491
