max_hold_h,tp_mode,tp_r,stop_atr,be,max_concurrent,n_trades,n_skipped,win_rate,profit_factor,sharpe,cagr,max_drawdown,final_equity,total_return
24,h4_level,,1.0,,12.0,962,849,0.27442827442827444,0.5379083886468894,-0.7528955484976011,-0.9658866729106841,-0.9926350087773566,871.2918430836563,-0.9912870815691635
24,h4_level,,1.0,,,1811,0,0.30922142462727775,0.41866359148764876,-0.14498388695295406,-0.9996827155663475,-0.9999917453971315,1.0267521710623322,-0.9999897324782894
24,h4_level,,1.0,0.5,1.0,191,1620,0.16230366492146597,0.4026924369059128,-2.1470279569339623,-0.5551600347857313,-0.6931096340545244,31952.387378836625,-0.6804761262116337
24,h4_level,,1.0,0.5,2.0,322,1489,0.16770186335403728,0.4560294041185855,-1.817831087623734,-0.6874290277084709,-0.8161776186606768,19347.095228687776,-0.8065290477131222
24,h4_level,,1.0,0.5,3.0,440,1371,0.175,0.4543969089430477,-1.5989465681999004,-0.7683817178316455,-0.8810584688932434,12639.108485162475,-0.8736089151483752
24,h4_level,,1.0,0.5,4.0,550,1261,0.18,0.45626102421399956,-1.4793825708649961,-0.8310126655226129,-0.924755382121701,8116.008846009285,-0.9188399115399072
24,h4_level,,1.0,0.5,5.0,649,1162,0.1802773497688752,0.44414328924687946,-1.4582196137303887,-0.8790387681191373,-0.9537003003584337,5005.495450978797,-0.9499450454902121
24,h4_level,,1.0,0.5,6.0,735,1076,0.18503401360544217,0.45776523035054323,-1.3378472835343718,-0.9026539337408191,-0.9662263279923964,3661.318810725422,-0.9633868118927458
24,h4_level,,1.0,0.5,8.0,896,915,0.18638392857142858,0.45100342113674313,-1.171239600881255,-0.9394708282797315,-0.983061531770515,1859.092026276906,-0.9814090797372309
24,h4_level,,1.0,0.5,12.0,1138,673,0.1968365553602812,0.4427827111632783,-0.9390726378295,-0.9703391547998449,-0.9939889020215501,691.1992214619956,-0.9930880077853801
24,h4_level,,1.0,0.5,,1811,0,0.22087244616234125,0.34370178144705155,-0.4979965056118441,-0.9966249570102189,-0.9997441147181291,30.30825324535372,-0.9996969174675464
24,h4_level,,1.0,1.0,1.0,162,1649,0.19135802469135801,0.4248048340856107,-2.0938181948905004,-0.5140801931388763,-0.6511025816876289,36326.01965541512,-0.6367398034458488
24,h4_level,,1.0,1.0,2.0,275,1536,0.20727272727272728,0.5042739239695813,-1.642196630126608,-0.6314206335773326,-0.7664589295027826,24861.44901003461,-0.7513855098996539
24,h4_level,,1.0,1.0,3.0,371,1440,0.215633423180593,0.5197392391976853,-1.4721460026088389,-0.7125160996052837,-0.8372106614113907,17763.29622063829,-0.8223670377936171
24,h4_level,,1.0,1.0,4.0,470,1341,0.2170212765957447,0.5014769798265836,-1.4776265708276985,-0.8020054818726209,-0.9052895689163034,10486.030959270227,-0.8951396904072977
24,h4_level,,1.0,1.0,5.0,560,1251,0.21607142857142858,0.4828103893196763,-1.4548595955004822,-0.8554962626857816,-0.9400554457556535,6641.824149852256,-0.9335817585014774
24,h4_level,,1.0,1.0,6.0,646,1165,0.21671826625386997,0.48435159606172,-1.3702437491012869,-0.8923874572419593,-0.9609319742894905,4333.876347052877,-0.9566612365294712
24,h4_level,,1.0,1.0,8.0,800,1011,0.21625,0.4783925897650079,-1.176061851851758,-0.9329375278562069,-0.9803425752454875,2215.566138825785,-0.9778443386117421
24,h4_level,,1.0,1.0,12.0,1042,769,0.22744721689059502,0.46733994573863596,-0.8456752067221844,-0.9678555490129224,-0.9932442344960803,799.2193336570504,-0.9920078066634295
24,h4_level,,1.0,1.0,,1811,0,0.25400331308669244,0.3494087225175995,-0.37166889326708025,-0.9990167520661858,-0.9999573296266027,5.307571935768849,-0.9999469242806424
24,h4_level,,1.5,,1.0,114,1697,0.2982456140350877,0.534117393899156,-1.7181612076032449,-0.3166136590455325,-0.4267236394768519,59160.9412048738,-0.40839058795126204
24,h4_level,,1.5,,2.0,200,1611,0.315,0.6220514026233227,-1.3025417215244006,-0.41510351496181097,-0.5426996311808827,48050.21849424714,-0.5194978150575286
24,h4_level,,1.5,,3.0,278,1533,0.32014388489208634,0.6173541002812364,-1.2612151657627586,-0.5273450932740282,-0.664412549638469,35944.71413344567,-0.6405528586655433
24,h4_level,,1.5,,4.0,356,1455,0.31741573033707865,0.6012245391148148,-1.2721076727448088,-0.6335740229410713,-0.7681359059684811,25134.222497354345,-0.7486577750264565
24,h4_level,,1.5,,5.0,433,1378,0.3140877598152425,0.586646553092551,-1.280171165586261,-0.7154979643940159,-0.839448059001593,17587.85213960314,-0.8241214786039686
24,h4_level,,1.5,,6.0,503,1308,0.31411530815109345,0.586148997249546,-1.2405000941691409,-0.7711715528436581,-0.8829810755283163,12993.689374731532,-0.8700631062526847
24,h4_level,,1.5,,8.0,632,1179,0.310126582278481,0.5843021033754114,-1.151701943059713,-0.849109928970295,-0.9360863014052626,7179.869296015594,-0.928201307039844
24,h4_level,,1.5,,12.0,863,948,0.31402085747392816,0.558797914883491,-0.9562460533282507,-0.9322125461266111,-0.9800071320384437,2345.0108106694147,-0.9765498918933059
