,static_equity
2022-10-04,154050.54507350922
2022-10-05,154050.54507350922
2022-10-06,154050.54507350922
2022-10-07,154050.54507350922
2022-10-10,154050.54507350922
2022-10-11,154050.54507350922
2022-10-12,154050.54507350922
2022-10-13,154050.54507350922
2022-10-14,154050.54507350922
2022-10-17,154050.54507350922
2022-10-18,154050.54507350922
2022-10-19,154050.54507350922
2022-10-20,154050.54507350922
2022-10-21,154050.54507350922
2022-10-24,154050.54507350922
2022-10-25,154050.54507350922
2022-10-26,154050.54507350922
2022-10-27,154050.54507350922
2022-10-28,154050.54507350922
2022-10-31,154050.54507350922
2022-11-01,154050.54507350922
2022-11-02,154050.54507350922
2022-11-03,154050.54507350922
2022-11-04,154050.54507350922
2022-11-07,154050.54507350922
2022-11-08,154050.54507350922
2022-11-09,154050.54507350922
2022-11-10,154050.54507350922
2022-11-11,154050.54507350922
2022-11-14,154050.54507350922
2022-11-15,154050.54507350922
2022-11-16,154050.54507350922
2022-11-17,154050.54507350922
2022-11-18,154050.54507350922
2022-11-21,154050.54507350922
2022-11-22,154050.54507350922
2022-11-23,154050.54507350922
2022-11-25,154050.54507350922
2022-11-28,154050.54507350922
2022-11-29,154050.54507350922
2022-11-30,154050.54507350922
2022-12-01,154050.54507350922
2022-12-02,154050.54507350922
2022-12-05,154050.54507350922
2022-12-06,154050.54507350922
2022-12-07,154050.54507350922
2022-12-08,154050.54507350922
2022-12-09,154050.54507350922
2022-12-12,154050.54507350922
2022-12-13,154050.54507350922
2022-12-14,154050.54507350922
2022-12-15,154050.54507350922
2022-12-16,154050.54507350922
2022-12-19,154050.54507350922
2022-12-20,154050.54507350922
2022-12-21,154050.54507350922
2022-12-22,154050.54507350922
2022-12-23,154050.54507350922
2022-12-27,154050.54507350922
2022-12-28,154050.54507350922
2022-12-29,154050.54507350922
2022-12-30,154050.54507350922
2023-01-03,154050.54507350922
2023-01-04,154050.54507350922
2023-01-05,154050.54507350922
2023-01-06,154050.54507350922
2023-01-09,154050.54507350922
2023-01-10,154050.54507350922
2023-01-11,154050.54507350922
2023-01-12,154050.54507350922
2023-01-13,154050.54507350922
2023-01-17,154050.54507350922
2023-01-18,154050.54507350922
2023-01-19,154050.54507350922
2023-01-20,154050.54507350922
2023-01-23,154050.54507350922
2023-01-24,154050.54507350922
2023-01-25,154050.54507350922
2023-01-26,154050.54507350922
2023-01-27,154050.54507350922
2023-01-30,154050.54507350922
2023-01-31,154050.54507350922
2023-02-01,154050.54507350922
2023-02-02,154050.54507350922
2023-02-03,154050.54507350922
2023-02-06,154050.54507350922
2023-02-07,154050.54507350922
2023-02-08,154337.77140712738
2023-02-09,154270.19305324554
2023-02-10,155512.49409389496
2023-02-13,156091.2846212387
2023-02-14,156466.42158412933
2023-02-15,156787.97383022308
2023-02-16,156410.14961147308
2023-02-17,156230.6176290512
2023-02-21,155954.6234884262
2023-02-22,155935.79072475433
2023-02-23,156011.1195821762
2023-02-24,155914.26631069183
2023-02-27,155914.26631069183
2023-02-28,155914.26631069183
2023-03-01,155914.26631069183
2023-03-02,155914.26631069183
2023-03-03,155914.26631069183
2023-03-06,155914.26631069183
2023-03-07,155914.26631069183
2023-03-08,155914.26631069183
2023-03-09,155554.10909938812
2023-03-10,155837.8700246811
2023-03-13,156562.27648830414
2023-03-14,156207.57302761078
2023-03-15,156796.91679286957
2023-03-16,157241.01446819305
2023-03-17,156738.12789440155
2023-03-20,157327.79230594635
2023-03-21,157790.9753370285
2023-03-22,156884.51862049103
2023-03-23,156901.0982093811
2023-03-24,157113.08950710297
2023-03-27,157570.31068325043
2023-03-28,157982.75493907928
2023-03-29,159392.06485271454
2023-03-30,160248.39913463593
2023-03-31,160873.94121074677
2023-04-03,160449.37314510345
2023-04-04,160106.2162542343
2023-04-05,160034.42418575287
2023-04-06,159828.87270641327
2023-04-10,160476.3175458908
2023-04-11,160476.3175458908
2023-04-12,160476.3175458908
2023-04-13,160476.3175458908
2023-04-14,160476.3175458908
2023-04-17,160476.3175458908
2023-04-18,160760.69958782196
2023-04-19,160559.41264629364
2023-04-20,160716.377825737
2023-04-21,160454.16094493866
2023-04-24,160382.13986492157
2023-04-25,159781.9884519577
2023-04-26,158891.99721622467
2023-04-27,158800.2865343094
2023-04-28,160613.71821689606
2023-05-01,161084.65175914764
2023-05-02,160542.2256822586
2023-05-03,159685.3477640152
2023-05-04,157510.61649036407
2023-05-05,159291.92451000214
2023-05-08,158986.18397808075
2023-05-09,158268.60930728912
2023-05-10,158572.43081378937
2023-05-11,157530.63656139374
2023-05-12,157653.3108701706
2023-05-15,158405.91914844513
2023-05-16,156448.48868083954
2023-05-17,156902.07245349884
2023-05-18,157538.1161851883
2023-05-19,157933.1185464859
2023-05-22,158313.5099592209
2023-05-23,158312.8071126938
2023-05-24,157813.91000461578
2023-05-25,157087.45152568817
2023-05-26,157703.81231594086
2023-05-30,155797.01771450043
2023-05-31,156676.55544948578
2023-06-01,157150.84135723114
2023-06-02,159523.13784694672
2023-06-05,159352.81970500946
2023-06-06,158135.8394460678
2023-06-07,159477.6858434677
2023-06-08,160915.87018871307
2023-06-09,160481.2750043869
2023-06-12,160406.0866804123
2023-06-13,160678.6468153
2023-06-14,160678.6468153
2023-06-15,160678.6468153
2023-06-16,160678.6468153
2023-06-20,160678.6468153
